id,catatan,createdAt,items,tokoNama,tokoId,kodeToko,total
"0BMBr1Q5H1cJ4jn405ck","","2025-11-10T06:44:59.000Z","[]","TOKO RIZKY OS","cBXhRkwzErSSQ2yHFz8H","K1502","0"
"0FHnVc29uJHiCHCUE2CX","","2025-11-11T04:10:23.083Z","[]","ILMA JAYA","1pS2Vw8a9fu0UurNB4v7","K1118","0"
"0JcKbRgMfrm2DAVvGcnE","","2025-10-03T06:51:51.006Z","[]","TOKO KOBER","42f4rMSZhOHXH6oYOXMn","K1571","0"
"0JwowohwVUu89mq1L5Ud","","2025-11-12T07:11:37.932Z","[]","KUSRIYAH","ICWLSSwzVvanVCAZdUih","K0742","0"
"0KxNUIlwgexG5JrdhnCq","","2025-10-14T06:57:34.833Z","[]","MASRUKIN","xXcBnRjwrKPQNBumnzm6","K1334","0"
"0c2LkDTd18ssgG5vUjUT","","2025-10-06T06:24:01.198Z","[]","AL HUSNA 5 PANCUR","ofWTyzpsse8zoCymsmtO","K1919","0"
"0eLTGBSwigBYFLgcyI4s","","2025-11-10T05:55:21.943Z","[]","MUHKAFI","yUpqWUQuZmgdXeW3bt5N","K1832","0"
"0iKFUSXBHKCjEX24lphR","","2025-10-25T06:52:58.891Z","[]","KANTIN PKU MUHAMMADYAH MAYONG","hX7OpXJoabbPtqfEEJTI","K0458","0"
"10Ofpjir0rNCZVkk98uw","","2025-10-04T05:25:44.583Z","[]","AMIN","AkprBUTUqD1gZOpeqLQy","K0503","0"
"144Y6pGFCoyX4MIb5ILR","","2025-10-01T06:32:26.480Z","[]","BU ISTIANAH (MTS URWATIL WATSQO)","WbtoNXx8lwUgS8s1ojLR","K2066","0"
"14KzUZEUnM4dlBmERSHL","","2025-11-04T05:32:39.356Z","[]","MASRUKIN","xXcBnRjwrKPQNBumnzm6","K1334","0"
"1Iv0Xt8Y47Zj15h8pShW","","2025-10-08T06:57:09.488Z","[]","SUPARNO","usLxLxZs3KRwiDECcgTd","K0390","0"
"1LU1loUc99zEPYthBagW","","2025-10-18T06:38:30.240Z","[]","SIDO MULYO","qBgHRkFD88KqnN8yy52I","K1484","0"
"1LiHHiBcyXXcMARiRny2","","2025-11-03T07:43:06.318Z","[]","AISYA","4m6k3Lx6PkBmmkEOUFc1","K1128","0"
"1NheynIiBJNukvJJ2JT6","","2025-10-16T05:32:23.073Z","[]","SUKATI","7xXpzkyryOEVARIJWA8V","K0467","0"
"1OMGTRamZfb7CNjRCbMy","","2025-10-29T03:50:21.451Z","[]","TOKO BINTANI MART","Hfn7DH6eAWCVrAkmczwl","K1409","0"
"1QjBLVU6FiHGEPqTkt9F","","2025-11-04T05:36:00.835Z","[]","SIDO MULYO","qBgHRkFD88KqnN8yy52I","K1484","0"
"1S1Lh1SAc2uGLUkLp6Su","","2025-10-15T10:22:16.685Z","[]","TOKO ALI","pfBZeBBflEj9cMD0uZa2","K1154","0"
"1Ug4J2EheD5D3GoYVv6e","","2025-11-10T11:00:41.328Z","[]","WINARNO","9uWRqV8KbynkKmi3nulk","K2021","0"
"1ZzmHIyq3LsgYxUwBTxu","","2025-11-10T07:31:49.276Z","[]","MUNAWAROH","eLh6QEH4U1yPXyxJUerC","K1121","0"
"1d55wq5RhJlEzRnsZWDv","","2025-10-10T08:23:40.331Z","[]","ALHUSNA MART","i3vRFtdn75Z0P1RiyJus","K0439","0"
"1dgcvPOSmifszHNotFgx","","2025-10-14T06:04:11.424Z","[]","IRWAN CELL","AiIHhFRAFqyGOx3AgdFI","K1867","0"
"1e7i4nr91u194WP4GGRE","","2025-09-30T15:54:08.782Z","[]","MARFUAH","A2C98b49QgAzpp25r8IG","K1000","0"
"1jWTNQVQmOC4IXml9ZnH","","2025-10-08T06:41:51.456Z","[]","TATA MANDIRI","BYxFMWDMPNQaGNvbV341","K0366","0"
"1oOrcC5HueSjRRXoJNgF","","2025-11-06T05:29:19.278Z","[]","SUDARTO","W5T0mkGuUhrS8Xv4nxtZ","K0676","0"
"1qZgNzy9ZcHVAjie3HLN","","2025-10-06T06:28:17.999Z","[]","AISYA","4m6k3Lx6PkBmmkEOUFc1","K1128","0"
"2AsAijSRuGksvQw904Xy","","2025-11-08T06:54:17.232Z","[]","TOKO IBU AMIN","AkprBUTUqD1gZOpeqLQy","K0503","0"
"2CN44ofwulVik6CDLyFE","","2025-11-08T04:46:05.131Z","[]","NUR YONO","rwANC5lfSRpAKV2HzJBj","K1982","0"
"2Cyp7qxqLSKq044VpIG6","","2025-10-30T04:14:03.839Z","[]","SISWANTO","sSufgeU8YIyZrAOZbEO6","K0526","0"
"2K7Elq9oSkvZXe0LFdqC","","2025-11-10T08:53:31.304Z","[]","APOTEK PANCUR","P3S3LmNnq4sCQ7YUieWO","K0352","0"
"2R7FGAvvqm09m3xvnnOU","","2025-11-03T04:14:56.722Z","[]","SD 3 BUNGU","nhuEhSvTkbCX7F1rYyfg","K1787","0"
"2Up3cKPzVoHd2aKdoGSU","","2025-10-10T07:48:20.167Z","[]","SD IT AL ANWAR","aKeHRY72jQ8R7GmJIMNH","K1658","0"
"2a6wqnYIrmLRLUDkzVY5","","2025-11-13T06:34:55.879Z","[]","TOKO LISA","d2fNqoVzXHxTmpY3E8v6","K1899","0"
"2pssO1mqGXCJGqyOxuuC","","2025-11-08T03:59:01.000Z","[]","MBAK IS","Sd6g46vJ9IKhkDW5DXlf","K0485","0"
"2svd4dn19kD057nVweqF","","2025-10-10T06:32:58.839Z","[]","MUSYAFAK","jVJBm18ggKRwQ9dO6sPu","K0512","0"
"2tY1YaE1xFPgOpwgmpzX","","2025-11-04T05:35:32.824Z","[]","IRWAN CELL","AiIHhFRAFqyGOx3AgdFI","K1867","0"
"2vsBmbv2yPSf6OnnIWTn","","2025-10-10T07:30:49.633Z","[]","TOKO KOBER","42f4rMSZhOHXH6oYOXMn","K1571","0"
"31JaQv1VJ7o7sRdG10vi","","2025-10-29T04:28:13.000Z","[]","NICE SWALAYAN","aR8hwBYkMccoUYlxzjC7","-","0"
"3CBVmqmWpNIG5tbEWrfu","","2025-11-04T05:36:21.437Z","[]","ULFA KHASANAH","yBsQQkZjVb4f23z50jbC","K1127","0"
"3NqC8F6D7mq66QpNSVRq","","2025-10-23T05:40:42.373Z","[]","WARUNG MADURA AL-AMIN 2","LrDGivjSfm58oJ7eILXz","K1649","0"
"3PD0IqnHEfaVLjujhqKh","","2025-10-10T03:58:05.914Z","[]","NIKMAT SEMBAKO","ZPG57TQu3HgMHFcjJS94","K1543","0"
"3R1IfEpfrRB3HHFwNKLs","","2025-10-07T03:58:08.089Z","[]","ILMA JAYA","1pS2Vw8a9fu0UurNB4v7","K1118","0"
"3ZrvjDD7TbUZNSH5G7Re","","2025-11-14T08:28:13.353Z","[]","SDN 1 BAKALAN ( TOKO SEMBAKO AHLIS )","Djb9VhTmktwIGcPkALLf","K2015","0"
"3o3UCskkXpvK1nX0TYx1","","2025-11-13T08:48:02.917Z","[]","SAMI JF MART","LjHKUWJDhaxyFOLArIdi","K1298","0"
"3yV7nRUvTMZqK7zvrCJA","","2025-09-30T15:55:36.865Z","[]","SRI REJEKI","r0Tw7NkLQD1aajraFOUW","K1209","0"
"41QLasgglJLbVav7M1i9","","2025-10-10T06:48:57.665Z","[]","M. FAIZUN","UakrWJWMX4JcwWKopZSl","K1614","0"
"463xBF8rNQf9cYRbXDMU","","2025-10-29T03:21:04.578Z","[]","TOKO SAUDARA","tdeA3VNFi7t8G3VWRUm6","K1916","0"
"4C4Rzl3VOE4aerQSAdd4","","2025-10-20T02:05:39.958Z","[]","BU ISTIANAH ( MTS URWATIL WATSQO )","WbtoNXx8lwUgS8s1ojLR","K2066","0"
"4EmFSt6Da1gYLngLBzjp","","2025-11-03T07:54:54.193Z","[]","APOTEK PANCUR","P3S3LmNnq4sCQ7YUieWO","K0352","0"
"4JEJEKoHYA7HfGy4vF9o","","2025-10-16T09:33:45.176Z","[]","MADURA BUNDA","9pGAxSxQpP97NFr46tWJ","K2077","0"
"4NElsaJJyKvG9QVVJ3me","","2025-11-08T03:06:38.146Z","[]","RIYADLUL QUR'AN","MBtynOjLtaD7KngRrvOo","K1286","0"
"4QrP6Pw4r69EFNLIQFY1","","2025-10-30T05:04:39.429Z","[]","Toko Koss Mart","lNRFpK00n4trF3j94v5p","K2014","0"
"4RI5lBITqJEVZpFmxBMg","","2025-10-27T06:34:37.000Z","[]","MUNAWAROH","eLh6QEH4U1yPXyxJUerC","K1121","0"
"4WrlQ1Bsjw6xyte7ibST","","2025-10-22T10:14:11.621Z","[]","TOKO BINTANI MART","Hfn7DH6eAWCVrAkmczwl","K1409","0"
"4aAX8PhXatNO3Bsz2Yl2","","2025-11-14T03:10:15.105Z","[]","SD IT AL HUSNA 2","dFJRnjEcCGZjVJ3vtZTF","K1759","0"
"4kwM1Lt4L1DoFsPdngrU","","2025-09-30T15:52:59.193Z","[]","SD 3 MEDINI","JIyyabcbkCcvnaispiaO","K1683","0"
"4lTCpFo1hRMC6DU8T7qV","","2025-10-09T08:44:50.653Z","[]","YANI","wa6cy9OSn1Nt8nknPGk4","K0462","0"
"4tzJzTMCDG5AemtbRBWv","","2025-10-07T05:59:06.456Z","[]","RESTU","ZpXCeOmAOnXDVw7mocUq","K0743","0"
"52A7VJsOYpUYudsFdoMW","","2025-11-11T02:38:29.123Z","[]","MBAK YUYUN","xp0ZRBc7iUKQ0VDFMW5Y","K0379","0"
"57m5djLLsvuiH10CqZiR","","2025-10-18T03:39:34.760Z","[]","RIYADLUL QUR'AN","MBtynOjLtaD7KngRrvOo","K1286","0"
"58VmlsGqSGOSmxoxnWCk","","2025-10-13T05:07:26.455Z","[]","SD 3 BUNGU","nhuEhSvTkbCX7F1rYyfg","K1787","0"
"5d23KqEh0O6wAymGR29U","Semqngka 74
Nanas 4
Jagung 33","2025-10-04T02:31:47.503Z","[]","MI SYUMUSUL HUDA","GMtCP1QmCDJ6WK1Fzvee","K1819","0"
"5lVOfYSECMp4djN3i007","","2025-11-06T03:07:18.000Z","[]","SMK ISLAM AL HIKMAH MAYONG","8k5mHDdqhzvAFdnkqWei","K1387","0"
"628vMGKwTXMvs6KXuy1o","","2025-10-01T06:06:25.122Z","[]","TOKO VANIA","OoHRaxncqsL1ElG0jLeK","K1868","0"
"6BR94mSJwQBZiMQZbBmE","","2025-10-14T04:00:19.505Z","[]","SD 3 BUARAN","ebebnNTVsoHmjsVzpaxp","K1788","0"
"6CqJm1E0Kgl5ej596x4j","","2025-11-07T05:04:45.950Z","[]","ENDANG RISTIYOWATI","f2Z73egCvMj4PXs56DKE","K0532","0"
"6NLjuFfqpDFvxi5MWQpM","","2025-10-14T04:01:18.409Z","[]","ELLA 2 KANTIN MTS BALEKAMBANG","j5OQBnhs4A8lXEY9aNI4","K0391","0"
"6O2xkYaeBXHW15ASYu7V","","2025-10-25T05:21:20.396Z","[]","RATU WALI","7l4t8ictEySaPyXnKMDa","K1498","0"
"6X8mOY7wDJa6NGj9Fl32","","2025-10-04T06:21:14.106Z","[]","ABYAN CAKE","YPpBOMPT2aukjCk1wvxw","K1613","0"
"6XIgODBmB3rDefbAkF7b","","2025-09-30T15:46:36.313Z","[]","AZKA JAYA","8qmFIegBFrcChbhUWEP1","K1265","0"
"6YErVlOWir7sCLYN38wi","","2025-11-11T03:54:54.205Z","[]","SD 1 BUARAN MAYONG","NKsOqczLvbzUQOrPcTvY","K1751","0"
"6klR4gutCoB15jSxXqHc","","2025-11-03T03:34:33.073Z","[]","TOKO ANUGERAH","IQtU1AxfLTPqglkim04O","K1969","0"
"6vRo03RzvY56iPjCE2FL","","2025-10-21T04:22:57.447Z","[]","ILMA JAYA","1pS2Vw8a9fu0UurNB4v7","K1118","0"
"71lHQVEjlYXtbjcQxjAg","","2025-10-07T02:36:34.042Z","[]","TOKO HALIMAH","xLheMxVZ8I1BWrwmFw48","K1607","0"
"73GbhWkKec6Sxt9ls0Ly","","2025-10-25T03:51:36.282Z","[]","FARIDA ERYANTI","jNgDfhGZ4mVvt8VJrRX7","K2005","0"
"77iHc9NIj1ih0F2cGrkI","","2025-10-16T03:34:35.749Z","[]","TOKO HAPSARI","ZwFykP7rgzkf1aJM6g3n","K1936","0"
"7E9XmILNzDquzjHOuJyu","","2025-09-30T15:45:30.269Z","[]","LINDA ALDINA","U9xR5JynZ7Jjn3kBAFvc","K1401","0"
"7QZ0YA4UVamTZqhnCZi4","","2025-10-26T17:00:00.000Z","[]","TOKO ZUMAEROH","S3sXgtgCOOvXYK2lhUtV","K1599","0"
"7YksNjhsOToPGE7Y8McT","","2025-11-08T05:23:57.116Z","[]","ABIYAN CAKE","YPpBOMPT2aukjCk1wvxw","K1613","0"
"7ZeqVzOQnoH9DR4ZtyY7","","2025-11-14T04:58:37.076Z","[]","M. FAIZUN","UakrWJWMX4JcwWKopZSl","K1614","0"
"7f791TjhkNfuzKvRnWgO","","2025-10-11T03:28:35.514Z","[]","RIYADLUL QUR'AN","MBtynOjLtaD7KngRrvOo","K1286","0"
"7s7jC0JswKHPJ8WPHPtV","","2025-10-07T08:35:56.538Z","[]","MADUN","ImE48v9OEwbSNMRIb16y","K0373","0"
"7yhi8pV2znbA7zkAyoQD","","2025-11-13T03:01:38.559Z","[]","KANTIN SMA AL HIKMAH","IrbkzdFUGCvAzQv01tks","K0525","0"
"80HAjD0pYd3BXuRAfTlw","","2025-11-13T03:05:44.091Z","[]","LINAWATI SMU MUH 2","hWaUvcWJzlPMr3hZZqH7","K1197","0"
