id,kodeToko,createdAt,tokoId,items,tokoNama,catatan,total
"0O6PIaOucUKGnpZxHfIa","K1969","2025-10-20T03:42:18.881Z","IQtU1AxfLTPqglkim04O","[{""hargaPerBox"":118500,""nama"":""CRISPY BALLS COOKIS"",""qtyBox"":1,""total"":118500,""isiPerBox"":40,""productId"":""L0uQuYqgS8Q4smIuyRs4""},{""total"":124800,""nama"":""FRUITY ROLL"",""qtyBox"":1,""isiPerBox"":40,""hargaPerBox"":124800,""productId"":""sKjCtHbEsvTpBhbQOyHB""},{""total"":93500,""isiPerBox"":60,""qtyBox"":1,""hargaPerBox"":93500,""productId"":""R52hO3IOVzVI3PRqPmGP"",""nama"":""MIKI-MIKI DOUBLE CHOCO""},{""isiPerBox"":50,""total"":77500,""qtyBox"":1,""nama"":""NANAS"",""hargaPerBox"":77500,""productId"":""Msk1v54GqR6gX6mqxqGS""},{""hargaPerBox"":77500,""nama"":""SEMANGKA"",""productId"":""k7TnmqAqR1yAmsY042eK"",""isiPerBox"":50,""qtyBox"":1,""total"":77500},{""qtyBox"":1,""hargaPerBox"":97000,""productId"":""QLk1TKlyQAC1EHOPZ7M6"",""nama"":""SUNDAE CHOCOLATE"",""isiPerBox"":24,""total"":97000},{""isiPerBox"":40,""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""qtyBox"":1,""total"":96000,""hargaPerBox"":96000,""nama"":""SWEET CORN""}]","TOKO ANUGERAH","Order dari kunjungan: ","684800"
"0RfqxRSyoExFCMBeAD9T","K1367","2025-10-08T05:20:33.310Z","517lFqCrv4ylnAybXBuH","[{""qtyBox"":1,""isiPerBox"":24,""productId"":""bIHGFn5MHtXpqVeM9enF"",""nama"":""CHOCOMELT CONE"",""total"":97500,""hargaPerBox"":97500},{""total"":110000,""nama"":""COFFE CRISPY"",""qtyBox"":1,""hargaPerBox"":110000,""isiPerBox"":40,""productId"":""BaaVl0Oq2oHnOUy1Cfuw""},{""total"":97500,""qtyBox"":1,""hargaPerBox"":97500,""nama"":""STRAWBERRY CONE"",""isiPerBox"":24,""productId"":""DoKWCzEByEeYXQFxFinE""},{""isiPerBox"":40,""nama"":""STRAWBERRY CRISPY"",""productId"":""4ZGi81slpOycqNbJ8lvW"",""total"":110000,""hargaPerBox"":110000,""qtyBox"":1},{""hargaPerBox"":96000,""qtyBox"":1,""total"":96000,""nama"":""SWEET CORN"",""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""isiPerBox"":40}]","ENDANG SRI WAHYUNI","Order dari kunjungan: ","511000"
"0V8HOS7QnYUK8KPqew22","K0439","2025-10-10T08:23:40.540Z","i3vRFtdn75Z0P1RiyJus","[{""productId"":""F4qHZUhwkEnkGMWDyqIm"",""hargaPerBox"":192000,""qtyBox"":1,""nama"":""3 IN 1"",""isiPerBox"":27,""total"":192000},{""hargaPerBox"":80000,""total"":80000,""nama"":""CHOCO MALT"",""qtyBox"":1,""productId"":""NOHAYE89jzvVJFKZcLFB"",""isiPerBox"":50},{""productId"":""ETb42XTcLpBbcC1aLhcb"",""isiPerBox"":30,""hargaPerBox"":117000,""total"":117000,""qtyBox"":1,""nama"":""CHOCOLATE CRISPY""},{""total"":93500,""isiPerBox"":60,""nama"":""MIKI-MIKI DOUBLE CHOCO"",""productId"":""R52hO3IOVzVI3PRqPmGP"",""qtyBox"":1,""hargaPerBox"":93500},{""nama"":""SWEET CORN"",""isiPerBox"":40,""qtyBox"":1,""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""total"":96000,""hargaPerBox"":96000}]","ALHUSNA MART","Order dari kunjungan:","578500"
"0fO6OqEOOT2aiJ0B2hbu","K1969","2025-10-13T03:20:16.214Z","IQtU1AxfLTPqglkim04O","[{""isiPerBox"":50,""nama"":""CHOCO MALT"",""hargaPerBox"":80000,""productId"":""NOHAYE89jzvVJFKZcLFB"",""qtyBox"":1,""total"":80000},{""total"":93500,""nama"":""MIKI-MIKI"",""hargaPerBox"":93500,""qtyBox"":1,""productId"":""Uu5WSQZmqTLoXc9oxlUj"",""isiPerBox"":60},{""isiPerBox"":40,""total"":92500,""nama"":""MOCHI VANILLA"",""qtyBox"":1,""hargaPerBox"":92500,""productId"":""xJbJEd4mYcSMcB4V4492""},{""total"":97000,""hargaPerBox"":97000,""nama"":""SUNDAE STRAWBERRY"",""isiPerBox"":24,""qtyBox"":1,""productId"":""aok5I2XQHFg2m97mC387""},{""nama"":""SWEET CORN"",""total"":96000,""isiPerBox"":40,""qtyBox"":1,""hargaPerBox"":96000,""productId"":""bNkl5FX7SlWzgxLhu2Pw""}]","TOKO ANUGERAH","Order dari kunjungan:","459000"
"0rQcSX3EkR5kTd4dtBp2","K1500","2025-10-22T06:17:45.087Z","VktFHlWljj8CqZVnsjtM","[{""productId"":""Uu5WSQZmqTLoXc9oxlUj"",""qtyBox"":1,""isiPerBox"":60,""total"":93500,""hargaPerBox"":93500,""nama"":""MIKI-MIKI""},{""isiPerBox"":60,""total"":93500,""hargaPerBox"":93500,""nama"":""MIKI-MIKI DOUBLE CHOCO"",""qtyBox"":1,""productId"":""R52hO3IOVzVI3PRqPmGP""},{""total"":97500,""isiPerBox"":24,""nama"":""STRAWBERRY CONE"",""productId"":""DoKWCzEByEeYXQFxFinE"",""hargaPerBox"":97500,""qtyBox"":1},{""productId"":""QLk1TKlyQAC1EHOPZ7M6"",""isiPerBox"":24,""qtyBox"":1,""nama"":""SUNDAE CHOCOLATE"",""hargaPerBox"":97000,""total"":97000},{""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""total"":96000,""nama"":""SWEET CORN""}]","TOKO SHERLY","","477500"
"11PnqpkrAXTfz6UFwCRc","K1482","2025-10-08T08:36:16.464Z","Bs2oePYU0B48Em6U0NdQ","[{""qtyBox"":1,""nama"":""CHOCOMELT CONE"",""isiPerBox"":24,""productId"":""bIHGFn5MHtXpqVeM9enF"",""hargaPerBox"":97500,""total"":97500},{""total"":92500,""isiPerBox"":40,""nama"":""MOCHI VANILLA"",""productId"":""xJbJEd4mYcSMcB4V4492"",""hargaPerBox"":92500,""qtyBox"":1},{""nama"":""NANAS"",""qtyBox"":1,""isiPerBox"":50,""hargaPerBox"":77500,""total"":77500,""productId"":""Msk1v54GqR6gX6mqxqGS""},{""isiPerBox"":50,""nama"":""SEMANGKA"",""hargaPerBox"":77500,""qtyBox"":1,""productId"":""k7TnmqAqR1yAmsY042eK"",""total"":77500},{""nama"":""SUNDAE STRAWBERRY"",""isiPerBox"":24,""qtyBox"":1,""total"":97000,""productId"":""aok5I2XQHFg2m97mC387"",""hargaPerBox"":97000},{""isiPerBox"":40,""nama"":""SWEET CORN"",""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""qtyBox"":1,""total"":96000,""hargaPerBox"":96000}]","BERKAH SAFAR","Order dari kunjungan: ","538000"
"1EuNHHEhPZAwB6JDipJa","-","2025-11-13T05:26:28.423Z","BvWPE9XFvPFjtvTQTh8G","[{""productId"":""BaaVl0Oq2oHnOUy1Cfuw"",""total"":110000,""qtyBox"":1,""hargaPerBox"":110000,""isiPerBox"":40,""nama"":""COFFE CRISPY""},{""qtyBox"":1,""isiPerBox"":30,""nama"":""CRISPY BALLS COOKIS"",""total"":118500,""productId"":""L0uQuYqgS8Q4smIuyRs4"",""hargaPerBox"":118500},{""qtyBox"":1,""productId"":""iegvzVPz0yZbNTHzwcj3"",""total"":96000,""isiPerBox"":40,""hargaPerBox"":96000,""nama"":""FRUIZY BLUEBERRY YOGURT""},{""hargaPerBox"":90500,""qtyBox"":1,""nama"":""MANGO SLUSH"",""isiPerBox"":30,""productId"":""xaB42zjrDkGuzdTP7tpO"",""total"":90500},{""nama"":""MIKI-MIKI"",""qtyBox"":1,""hargaPerBox"":93500,""productId"":""Uu5WSQZmqTLoXc9oxlUj"",""isiPerBox"":60,""total"":93500},{""hargaPerBox"":92500,""qtyBox"":1,""nama"":""MOCHI VANILLA"",""productId"":""xJbJEd4mYcSMcB4V4492"",""total"":92500,""isiPerBox"":40},{""isiPerBox"":50,""total"":77500,""qtyBox"":1,""productId"":""k7TnmqAqR1yAmsY042eK"",""hargaPerBox"":77500,""nama"":""SEMANGKA""},{""qtyBox"":1,""isiPerBox"":40,""productId"":""4ZGi81slpOycqNbJ8lvW"",""total"":110000,""hargaPerBox"":110000,""nama"":""STRAWBERRY CRISPY""},{""isiPerBox"":24,""productId"":""QLk1TKlyQAC1EHOPZ7M6"",""nama"":""SUNDAE CHOCOLATE"",""hargaPerBox"":97000,""total"":97000,""qtyBox"":1},{""total"":97000,""nama"":""SUNDAE STRAWBERRY"",""isiPerBox"":24,""productId"":""aok5I2XQHFg2m97mC387"",""hargaPerBox"":97000,""qtyBox"":1},{""hargaPerBox"":96000,""total"":96000,""qtyBox"":1,""nama"":""SWEET CORN"",""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""isiPerBox"":40}]","PP  ALHUSNA 2","","1078500"
"1G1u5F5FaUOdaC2J2gEz","K1916","2025-10-15T04:32:22.000Z","tdeA3VNFi7t8G3VWRUm6","[{""nama"":""CHOCO MALT"",""total"":80000,""productId"":""NOHAYE89jzvVJFKZcLFB"",""qtyBox"":1,""hargaPerBox"":80000,""isiPerBox"":50},{""isiPerBox"":60,""hargaPerBox"":93500,""nama"":""MIKI-MIKI"",""qtyBox"":1,""total"":93500,""productId"":""Uu5WSQZmqTLoXc9oxlUj""},{""qtyBox"":1,""total"":77500,""isiPerBox"":50,""nama"":""NANAS"",""hargaPerBox"":77500,""productId"":""Msk1v54GqR6gX6mqxqGS""},{""nama"":""SUNDAE CHOCOLATE"",""hargaPerBox"":97000,""qtyBox"":1,""productId"":""QLk1TKlyQAC1EHOPZ7M6"",""total"":97000,""isiPerBox"":24},{""isiPerBox"":40,""nama"":""SWEET CORN"",""total"":96000,""qtyBox"":1,""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""hargaPerBox"":96000}]","TOKO SAUDARA","","444000"
"1TdSGUgqxlPeAYpfKmAT","K0511","2025-10-10T04:33:29.674Z","ewv2xw7GgJtJXR8nPfQw","[{""nama"":""2 COLOR"",""productId"":""jJ0aqMzW8XNZeKsXBWuQ"",""total"":92000,""isiPerBox"":40,""hargaPerBox"":92000,""qtyBox"":1},{""total"":80000,""hargaPerBox"":80000,""nama"":""CHOCO MALT"",""productId"":""NOHAYE89jzvVJFKZcLFB"",""isiPerBox"":50,""qtyBox"":1},{""nama"":""COFFE CRISPY"",""isiPerBox"":40,""qtyBox"":1,""total"":110000,""hargaPerBox"":110000,""productId"":""BaaVl0Oq2oHnOUy1Cfuw""},{""qtyBox"":1,""productId"":""L0uQuYqgS8Q4smIuyRs4"",""isiPerBox"":40,""total"":118500,""nama"":""CRISPY BALLS COOKIS"",""hargaPerBox"":118500},{""qtyBox"":1,""isiPerBox"":50,""productId"":""k7TnmqAqR1yAmsY042eK"",""total"":77500,""nama"":""SEMANGKA"",""hargaPerBox"":77500},{""nama"":""SUNDAE CHOCOLATE"",""productId"":""QLk1TKlyQAC1EHOPZ7M6"",""hargaPerBox"":97000,""qtyBox"":1,""isiPerBox"":24,""total"":97000},{""isiPerBox"":24,""nama"":""SUNDAE STRAWBERRY"",""productId"":""aok5I2XQHFg2m97mC387"",""total"":97000,""qtyBox"":1,""hargaPerBox"":97000}]","STICOM","Order dari kunjungan:","672000"
"1VW2SXFnUVIdYFFzzCVI","K1534","2025-10-20T01:46:41.707Z","HsBqJ8NfGtWtPy4dtOUp","[{""total"":117000,""nama"":""CHOCOLATE CRISPY"",""isiPerBox"":30,""qtyBox"":1,""productId"":""ETb42XTcLpBbcC1aLhcb"",""hargaPerBox"":117000},{""total"":118500,""nama"":""CRISPY BALLS COOKIS"",""qtyBox"":1,""isiPerBox"":40,""hargaPerBox"":118500,""productId"":""L0uQuYqgS8Q4smIuyRs4""},{""nama"":""FRUITY ROLL"",""total"":124800,""hargaPerBox"":124800,""productId"":""sKjCtHbEsvTpBhbQOyHB"",""isiPerBox"":40,""qtyBox"":1},{""hargaPerBox"":95000,""qtyBox"":1,""isiPerBox"":40,""nama"":""MILK MELON"",""total"":95000,""productId"":""y44wV7EqlAwgQKUJj38O""},{""nama"":""STRAWBERRY CRISPY"",""qtyBox"":1,""hargaPerBox"":110000,""total"":110000,""productId"":""4ZGi81slpOycqNbJ8lvW"",""isiPerBox"":40},{""productId"":""QLk1TKlyQAC1EHOPZ7M6"",""qtyBox"":1,""nama"":""SUNDAE CHOCOLATE"",""total"":97000,""isiPerBox"":24,""hargaPerBox"":97000},{""hargaPerBox"":97000,""isiPerBox"":24,""total"":97000,""nama"":""SUNDAE STRAWBERRY"",""qtyBox"":1,""productId"":""aok5I2XQHFg2m97mC387""},{""nama"":""SWEET CORN"",""qtyBox"":1,""hargaPerBox"":96000,""total"":96000,""isiPerBox"":40,""productId"":""bNkl5FX7SlWzgxLhu2Pw""}]","TRANSIT MART 2","","855300"
