id,hargaJualPerPcs,nama,isiPerBox,foto,hargaPerBox,available,createdAt
"4ZGi81slpOycqNbJ8lvW","3500","STRAWBERRY CRISPY","40","https://aice.sesarengan.my.id/storage/products/SSxKLpfF6yYTHrK3a0LZiLsGXFRkb8kfDL0VDWHf.webp","110000","true","2025-09-25T15:16:05.118Z"
"7UxUJTQkHUiENrlXOJp2","7000","CHOCOLATE MAX CONE","24","https://aice.sesarengan.my.id/storage/products/d7CGovomQBPk8ho7ztHzYkEEcuL1lkP1VeUP4QYL.webp","131000","false","2025-09-25T15:19:26.241Z"
"BaaVl0Oq2oHnOUy1Cfuw","3500","COFFE CRISPY","40","https://aice.sesarengan.my.id/storage/products/gSm9V8Bt9wPe5XmwphauOuCDQxpbUyYKl7gmMuPj.webp","110000","true","2025-09-25T15:15:13.973Z"
"DoKWCzEByEeYXQFxFinE","5000","STRAWBERRY CONE","24","https://aice.sesarengan.my.id/storage/products/3N1ZJ02M9IDeuSLwAhhboYcBhON287R5HEGCy1SX.jpg","97500","true","2025-09-25T15:14:37.541Z"
"EF26XY2EwO1i35LRXuBv","3000","MOCHI PEACH","40","https://aice.sesarengan.my.id/storage/products/PevV8KlSTksJP0ktV9TPx5FnXnSEX2dUoGCFoDJm.webp","92500","true","2025-09-25T15:03:42.453Z"
"ETb42XTcLpBbcC1aLhcb","5000","CHOCOLATE CRISPY","30","https://aice.sesarengan.my.id/storage/products/MNAhtt2tce3oxRkH4g6xZbd8T2W22dVchOqqHK1u.webp","117000","true","2025-09-25T15:16:34.030Z"
"F4qHZUhwkEnkGMWDyqIm","9000","3 IN 1","27","https://aice.sesarengan.my.id/storage/products/eX9HjjeDRHyjPQCefbNz7Yz3puuGYICMZr9md8z6.webp","192000","true","2025-09-25T15:21:41.535Z"
"Hzn6DvSXYxLmhtuekqkk","3000","VANILLA BERRY CONE","48","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcx4O-uTnIuHtYK2KBh5kqoE6tsvdeKdlRmAELfzggKUXD486e36--rwYn&s=10","115200","false","2025-10-27T02:01:52.753Z"
"IDeDw8ay7rGfQANXeYLM","2500","CHOCOLATE STICK (BINGO)","50","https://aice.sesarengan.my.id/storage/products/58FBFOGQBciMPLYKFR6kzdFkZdGkUnJAsXolCgbd.jpg","97000","true","2025-09-25T15:13:09.441Z"
"IObGPAtQC6EtHr2XcpUY","3000","MOCHI CHOCOLATE","40","https://aice.sesarengan.my.id/storage/products/2kbEnRaD8p9ZBsDuCfqtN9TYf7I8pZ9YFmlIOgWZ.webp","93500","false","2025-09-25T15:03:05.754Z"
"KtjGECYEwOyqkWM0Iu4E","2000","FRUIZY GRAPE","50","https://aice.sesarengan.my.id/storage/products/Xvohj5mrCaIhTy16Yq2uCVtNQWMWCMInUr5iMKMi.webp","80000","true","2025-09-25T14:59:02.610Z"
"L0uQuYqgS8Q4smIuyRs4","5000","CRISPY BALLS COOKIS","30","https://aice.sesarengan.my.id/storage/products/vIXBzhNpvjEqRAAtW260J7iJErSx79kI67uO5mnn.webp","118500","true","2025-09-25T15:17:58.850Z"
"Msk1v54GqR6gX6mqxqGS","2000","NANAS","50","https://aice.sesarengan.my.id/storage/products/TUcti1ApAW6TKfmFIDSgzYBRo4FDv8tYXvrdXDXx.webp","77500","true","2025-09-25T14:57:34.478Z"
"N8oPUfk4JcfNuyfZeRcM","2000","JERUK","50","https://aice.sesarengan.my.id/storage/products/1NcuZQc7zjASuqjOVqD0a3ZgCsGrROu1qwfbb3jL.webp","78000","true","2025-09-25T14:58:24.682Z"
"NOHAYE89jzvVJFKZcLFB","2000","CHOCO MALT","50","https://aice.sesarengan.my.id/storage/products/sttm4zAbP6NN41t071jljxZPB63XOnNxHo2RYEqF.webp","80000","true","2025-09-25T14:59:29.457Z"
"PnPJnogSXAiytWfTxQWM","3000","MOCHI MANGO","40","https://aice.sesarengan.my.id/storage/products/FTNWHaGoTeuzMx6bBu2OnYPp3OeefOpOWE0whJc0.webp","94500","true","2025-09-25T15:08:33.189Z"
"QLk1TKlyQAC1EHOPZ7M6","5000","SUNDAE CHOCOLATE","24","https://aice.sesarengan.my.id/storage/products/bZk39NqZIxMqV4yDbl6PQqhhyPTBzWFlqSEUNTrM.webp","97000","true","2025-09-25T15:12:03.995Z"
"R52hO3IOVzVI3PRqPmGP","2000","MIKI-MIKI DOUBLE CHOCO","60","https://aice.sesarengan.my.id/storage/products/djl4C4sNadUKvb8pqjg1m4pGrw9Lfl2nrvsvqnBK.jpg","93500","true","2025-09-25T15:05:05.754Z"
"U3qfJlCyL3zOiNLFUFkb","3000","TARO CRISPY","40","https://aice.gamora.id/storage/products/KHflNNGzSAXOFPrqnJETDIoORbTQPtCVYbjj0ZUA.webp","96500","true","2025-09-25T15:11:36.068Z"
