foto,createdAt,hargaJualPerPcs,isiPerBox,hargaPerBox,nama,available,id
"https://aice.sesarengan.my.id/storage/products/SSxKLpfF6yYTHrK3a0LZiLsGXFRkb8kfDL0VDWHf.webp","2025-09-25T15:16:05.118Z","3500","40","110000","STRAWBERRY CRISPY","true","b54e5a8a-a7b0-4f58-854e-151b9ac7b147"
"https://aice.sesarengan.my.id/storage/products/d7CGovomQBPk8ho7ztHzYkEEcuL1lkP1VeUP4QYL.webp","2025-09-25T15:19:26.241Z","7000","24","131000","CHOCOLATE MAX CONE","false","08fb6f72-5d0c-4f5e-89ad-5b7948a696d7"
"https://aice.sesarengan.my.id/storage/products/gSm9V8Bt9wPe5XmwphauOuCDQxpbUyYKl7gmMuPj.webp","2025-09-25T15:15:13.973Z","3500","40","110000","COFFE CRISPY","true","19153282-2d60-4826-932a-c7c9a0a958b7"
"https://aice.sesarengan.my.id/storage/products/3N1ZJ02M9IDeuSLwAhhboYcBhON287R5HEGCy1SX.jpg","2025-09-25T15:14:37.541Z","5000","24","97500","STRAWBERRY CONE","true","cd48792b-8ef3-4cba-be2d-3283481e7c59"
"https://aice.sesarengan.my.id/storage/products/PevV8KlSTksJP0ktV9TPx5FnXnSEX2dUoGCFoDJm.webp","2025-09-25T15:03:42.453Z","3000","40","92500","MOCHI PEACH","true","1b10562d-5172-4528-a5fc-1f5c68630147"
"https://aice.sesarengan.my.id/storage/products/MNAhtt2tce3oxRkH4g6xZbd8T2W22dVchOqqHK1u.webp","2025-09-25T15:16:34.030Z","5000","30","117000","CHOCOLATE CRISPY","true","97bfb86b-50f3-4725-8ebc-a930107e1f3f"
"https://aice.sesarengan.my.id/storage/products/eX9HjjeDRHyjPQCefbNz7Yz3puuGYICMZr9md8z6.webp","2025-09-25T15:21:41.535Z","9000","27","192000","3 IN 1","true","cd50fc88-32b3-41d6-893e-7253faa8da9b"
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcx4O-uTnIuHtYK2KBh5kqoE6tsvdeKdlRmAELfzggKUXD486e36--rwYn&s=10","2025-10-27T02:01:52.753Z","3000","48","115200","VANILLA BERRY CONE","true","39defa48-f6f5-4088-8127-a832bf021ac8"
"https://aice.sesarengan.my.id/storage/products/58FBFOGQBciMPLYKFR6kzdFkZdGkUnJAsXolCgbd.jpg","2025-09-25T15:13:09.441Z","2500","50","97000","CHOCOLATE STICK (BINGO)","true","978f2fba-a58a-4ead-b548-8fb64417b093"
"https://aice.sesarengan.my.id/storage/products/2kbEnRaD8p9ZBsDuCfqtN9TYf7I8pZ9YFmlIOgWZ.webp","2025-09-25T15:03:05.754Z","3000","40","93500","MOCHI CHOCOLATE","false","00f96836-782d-4c4f-8a19-f44d311252cd"
"https://aice.sesarengan.my.id/storage/products/Xvohj5mrCaIhTy16Yq2uCVtNQWMWCMInUr5iMKMi.webp","2025-09-25T14:59:02.610Z","2000","50","80000","FRUIZY GRAPE","true","344b79cf-a037-4561-ba42-50626465dc90"
"https://aice.sesarengan.my.id/storage/products/vIXBzhNpvjEqRAAtW260J7iJErSx79kI67uO5mnn.webp","2025-09-25T15:17:58.850Z","5000","30","118500","CRISPY BALLS COOKIS","true","4b126c6b-3c14-49dd-9ff4-f3dec8bc3662"
"https://aice.sesarengan.my.id/storage/products/TUcti1ApAW6TKfmFIDSgzYBRo4FDv8tYXvrdXDXx.webp","2025-09-25T14:57:34.478Z","2000","50","77500","NANAS","true","9aeec589-46a9-469d-80da-7d4b3b1a741b"
"https://aice.sesarengan.my.id/storage/products/1NcuZQc7zjASuqjOVqD0a3ZgCsGrROu1qwfbb3jL.webp","2025-09-25T14:58:24.682Z","2000","50","78000","JERUK","true","0e3a07fb-d3a0-48fc-8209-d3d3649b292f"
"https://aice.sesarengan.my.id/storage/products/sttm4zAbP6NN41t071jljxZPB63XOnNxHo2RYEqF.webp","2025-09-25T14:59:29.457Z","2000","50","80000","CHOCO MALT","true","02942549-9659-4352-804b-5a5665a1302a"
"https://aice.sesarengan.my.id/storage/products/FTNWHaGoTeuzMx6bBu2OnYPp3OeefOpOWE0whJc0.webp","2025-09-25T15:08:33.189Z","3000","40","94500","MOCHI MANGO","true","c64f588e-f38a-463e-be49-d005ce119adc"
"https://aice.sesarengan.my.id/storage/products/bZk39NqZIxMqV4yDbl6PQqhhyPTBzWFlqSEUNTrM.webp","2025-09-25T15:12:03.995Z","5000","24","97000","SUNDAE CHOCOLATE","true","55cb8d5e-5852-4e6c-ae02-1a6a02f7ea29"
"https://aice.sesarengan.my.id/storage/products/djl4C4sNadUKvb8pqjg1m4pGrw9Lfl2nrvsvqnBK.jpg","2025-09-25T15:05:05.754Z","2000","60","93500","MIKI-MIKI DOUBLE CHOCO","true","97c8c35f-40d8-49fe-8e66-d051ebafe3fb"
"https://aice.gamora.id/storage/products/KHflNNGzSAXOFPrqnJETDIoORbTQPtCVYbjj0ZUA.webp","2025-09-25T15:11:36.068Z","3000","40","96500","TARO CRISPY","true","49e0231e-af99-4110-9592-072d18ec59a0"
"https://aice.sesarengan.my.id/storage/products/2JIQldGjQClca4gY4xcHoMuGnOtfSiTWDuMdCNoe.webp","2025-09-25T15:04:35.008Z","2000","60","93500","MIKI-MIKI","true","adf3703f-33c4-4b26-b6eb-7e5731dbdb67"
"https://aice.sesarengan.my.id/storage/products/O7w720txpjkenbbiLFOuZ6eWW0XkKU0Dta9jZViA.webp","2025-09-25T15:12:36.818Z","5000","24","97000","SUNDAE STRAWBERRY","true","e24cbe96-3587-437f-9a4a-36041590c16a"
"https://aice.sesarengan.my.id/storage/products/oPJoSW5VDnBOLeZlibrAZVkyQuQRhIoLfsR1PDTX.webp","2025-09-25T15:14:07.724Z","5000","24","97500","CHOCOMELT CONE","true","091c691a-b5a5-41d4-9a77-d70b2fb32811"
"https://aice.sesarengan.my.id/storage/products/UgqqJIIxrYEyqPwIaNgQQOkQDF8LjBWEynuXWLdr.webp","2025-09-25T15:10:14.752Z","3000","40","96000","SWEET CORN","true","1441bc6d-2850-4d09-92ef-032b2b3ad3c0"
"https://aice.sesarengan.my.id/storage/products/n8vK0DJGmGFaDshX7hON9lQxoO7k21sN8WHf4hC0.webp","2025-09-25T15:05:39.814Z","3000","40","94500","MOCHI KLEPON","false","f471b533-b60a-432d-8715-8d6951b581ad"
"https://aice.sesarengan.my.id/storage/products/0u9jjUwUYqZjmMU8B3NmlOCXesY1V6KJfwb7WpS5.webp","2025-09-25T15:02:13.996Z","3000","40","92500","MOCHI BANANA","true","57b1bf22-e334-4079-8a45-8ee4d997fd29"
"https://aice.sesarengan.my.id/storage/products/loHI7lxX7vORsRfALFeH5lwBaTh5GD46fHsKP4jG.webp","2025-09-25T15:19:01.071Z","7000","24","131000","STRAWBERRY MAX CONE","false","92690e62-a56e-42eb-b1d4-dae150892af8"
"https://aice.sesarengan.my.id/storage/products/ysW7oQ0V7lQ1V9Ec6HOofsMKSUOZ7RSsg6xQQl49.webp","2025-09-25T15:09:43.946Z","3000","40","96000","FRUIZY BLUEBERRY YOGURT","true","813ea956-40e3-4408-bee3-acdb66980318"
"https://aice.sesarengan.my.id/storage/products/FiPaWBf1PZrGQUO7KF1AEkIIakjhgjNqhNdBtXap.webp","2025-09-25T15:01:15.057Z","3000","40","92000","2 COLOR","true","ff94f02b-8423-412b-84a7-90a4cdf95acd"
"https://aice.sesarengan.my.id/storage/products/uFL1TtxuCAfpKEpkibghqaFeoGRL8tNc1ZH4cuke.webp","2025-09-25T14:43:18.140Z","2000","50","77500","SEMANGKA","true","f9135088-2cf1-45ae-94b7-2dd4d6c54632"
"https://aice.sesarengan.my.id/storage/products/a4Pqe82k2uzymeiWKmUP8AApZq3sCaPckMHJx5GM.webp","2025-09-25T15:17:15.408Z","5000","30","118500","CRISPY BALLS ORIGINAL","true","421a7ad7-a36a-4882-b7fc-18004318e776"
"https://aice.sesarengan.my.id/storage/products/wXVBSjClwLdvFiAJ9eptqUsBpaEofWeM5FnyP5Y0.webp","2025-09-25T15:20:40.981Z","8500","24","152000","HISTERIA ORIGINAL","false","74780774-436a-4cab-9308-1f5f0b730333"
"https://aice.sesarengan.my.id/storage/products/o49fpApTQ0umqAVtKyvSChbyqj3ZLz37IbrjDQpn.webp","2025-09-25T15:20:07.157Z","8500","24","152000","HISTERIA PEACH","false","a58889e9-8566-4e91-81d7-4db7ef862950"
"https://aice.sesarengan.my.id/storage/products/1rIHtuGOl0qW8ongwR5zLI7a7dGATSQzxlpYWgb4.webp","2025-09-25T15:21:08.426Z","8500","24","152000","HISTERIA MATCHA","false","e4cc46a3-6f16-4fa1-a558-bfba5d6959ce"
"https://aice.sesarengan.my.id/storage/products/YwmNWkWjU6erQOanhDQRHbMVkz8b7OqwnnZMIA1Z.jpg","2025-09-25T15:13:38.585Z","4000","40","124800","FRUITY ROLL","true","23736cae-26f2-4bb6-bfa5-1e9819418946"
"https://aice.sesarengan.my.id/storage/products/BpzgVpjZW2k7B8LnFYbxJT7bOUlapn3UPhlpQT9w.webp","2025-09-25T15:04:04.629Z","3000","40","92500","MOCHI VANILLA","true","ce412f53-cbe1-4f99-a97f-994f9d4639fb"
"https://aice.sesarengan.my.id/storage/products/AZvTal4r45JjOW06PpcUk9oaOWXbnzmmK5Kx1Hhr.png","2025-09-25T15:10:59.845Z","4000","30","96500","MOONG BEAN","false","757067ee-fa5b-4848-b23a-cd49376934ab"
"https://aice.sesarengan.my.id/storage/products/WHYEJiHU3fQz8du2hqaxjDrhjIEB5UYnS8ixE5gE.webp","2025-09-25T15:00:09.654Z","4000","30","90500","MANGO SLUSH","true","267ea0f8-db2a-4831-8eeb-35cbaae04604"
"https://aice.sesarengan.my.id/storage/products/Jowhtqybp0E7rH1TIrL85J81tcFvnPVMYxNGHwuS.webp","2025-09-25T15:09:07.784Z","3000","40","95000","MILK MELON","true","8b377101-fe06-48f8-84f8-62c3ff2d94f4"
