id,nama,kode,kodeFreezer,jadwalKunjungan,createdAt,nomorWa
"0nchyPCKCX7ahDdo6icy","SEJAHTERA FROZEN FOOD","K1854","IDNR2020406919","[""kamis""]","2025-10-02T01:21:20.662Z","6282329672750"
"1pS2Vw8a9fu0UurNB4v7","ILMA JAYA","K1118","IDNR2020306654","[""selasa""]","2025-10-06T15:15:16.603Z","6282134796040"
"2zobAduRXbA1IyykFf5n","MJ CELL","K0441","IDN2016301601","[""jumat""]","2025-10-02T16:09:25.922Z","6289631762052"
"36KgS7wC1Qnude8tPEJW","PUTRA / ADE ZONE","K1480","IDNA2018303580","[""kamis""]","2025-10-02T01:15:17.764Z","6289671891232"
"42f4rMSZhOHXH6oYOXMn","TOKO KOBER","K1571","IDNR2020306988","[""jumat""]","2025-10-02T16:16:43.321Z","6287773453003"
"4RrFtYEGtIzcVvzYWaMY","SD IT AL HUSNA PELEMKEREP","K1656","IDNR2022305033","[""jumat""]","2025-10-02T16:17:55.176Z","6289682912554"
"4m6k3Lx6PkBmmkEOUFc1","AISYA","K1128","IDNR2020306776","[""senin""]","2025-10-06T01:12:39.608Z","62882006281366"
"517lFqCrv4ylnAybXBuH","ENDANG SRI WAHYUNI","K1367","BIDNAICE202060416","[""rabu""]","2025-10-01T01:38:15.424Z","6285641913643"
"615zUNcqDmWisXG92rkP","TOKO M ANIQ ALFARUQI","K1533","IDNR2022304999","[""senin""]","2025-10-06T01:24:14.500Z","6282210259789"
"6XnHlhaup6RQesAHfOFv","AL-FALAH","K0375","IDN2016033365","[""selasa""]","2025-10-06T15:15:16.603Z","6285175434599"
"6pw30ZdwX1mjmVnAvMaL","TOKO MBAK RINI","K1725","IDNR2023238458","[""rabu""]","2025-10-01T01:41:15.634Z","6281250746642"
"7eLpiuXvWvr11bxaDZWz","MBAK IMA","K0740","IDN2016016021","[""sabtu""]","2025-10-04T01:06:47.374Z","6285227844850"
"7l4t8ictEySaPyXnKMDa","RATU WALI","K1498","IDNR2023303612","[""sabtu""]","2025-10-04T01:05:13.001Z","6282141285297"
"7xXpzkyryOEVARIJWA8V","SUKATI","K0467","IDN2016315905","[""kamis""]","2025-10-02T01:09:32.952Z","62895401338700"
"878SE6zfogSZSvQEzaQC","TOKO VIANA","K1911","BIDNAICE202060266","[""rabu""]","2025-10-01T01:42:42.460Z","6285701623259"
"8k5mHDdqhzvAFdnkqWei","SMK ISLAM AL HIKMAH MAYONG","K1387","IDNR2022305089","[""kamis""]","2025-10-02T01:14:29.977Z","6285314156438"
"97dQ3fc5oJLPHPNSZvPe","SUMUK CELL","K0504","IDNR2019402849","[""jumat""]","2025-10-02T16:14:07.908Z","6285803768888"
"9pGAxSxQpP97NFr46tWJ","MADURA BUNDA","K2077","IDN2016016011","[""kamis""]","2025-10-02T01:19:16.713Z","62881012020116"
"9uWRqV8KbynkKmi3nulk","WINARNO","K2021","IDNR2024214571","[""jumat""]","2025-10-02T16:20:57.852Z","6282227092345"
"AiIHhFRAFqyGOx3AgdFI","IRWAN CELL","K1867","IDN2016301696","[""selasa""]","2025-10-06T15:15:16.603Z","6285226123313"
"AkprBUTUqD1gZOpeqLQy","TOKO IBU AMIN","K0503","IDNR2020417757","[""sabtu""]","2025-10-04T00:34:34.119Z","62895382617137"
"Al3wNMsqeYtsyijq1Fvh","KOPERASI AL-ALAWY","K1555","IDNR2023302656","[""sabtu""]","2025-10-04T01:06:23.309Z","6285290347061"
"B432NajzpIiYQHMjsajM","ALIYA CELL","K0721","IDN2016304329","[""sabtu""]","2025-10-04T01:09:14.058Z","6289654411333"
"B8hPBUTijMD2pKkhKEoc","WIWIK","K0424","IDN2016315514","[""selasa""]","2025-10-06T15:15:16.603Z","6282241097717"
"BYxFMWDMPNQaGNvbV341","TATA MANDIRI","K0366","IDN2016304343","[""rabu""]","2025-10-01T01:35:11.158Z","6285329439936"
