nama,kode,jadwalKunjungan,createdAt,kodeFreezer,nomorWa,id
"SEJAHTERA FROZEN FOOD","K1854","[""kamis""]","2025-10-02T01:21:20.662Z","IDNR2020406919","6282329672750","48ff2b1f-a4aa-4e1a-9ccf-d3611ccac180"
"ILMA JAYA","K1118","[""selasa""]","2025-10-06T15:15:16.603Z","IDNR2020306654","6285602774654","e1c8d2c7-8b0d-4895-b0f1-a995d145c4ab"
"MJ CELL","K0441","[""jumat""]","2025-10-02T16:09:25.922Z","IDN2016301601","6289631762052","a0ad1bcb-101a-4c18-b744-f91787682c64"
"PUTRA / ADE ZONE","K1480","[""kamis""]","2025-10-02T01:15:17.764Z","IDNA2018303580","6289671891232","0630e12f-8ff5-437e-b65f-fafce6d99e07"
"TOKO KOBER","K1571","[""jumat""]","2025-10-02T16:16:43.321Z","IDNR2020306988","6287773453003","cd8de274-8720-4a01-9e17-073fec4f4af1"
"SD IT AL HUSNA PELEMKEREP","K1656","[""jumat""]","2025-10-02T16:17:55.176Z","IDNR2022305033","6289682912554","4c4cb1e2-7e9f-45b2-97e8-4f1de565ca6e"
"AISYA","K1128","[""senin""]","2025-10-06T01:12:39.608Z","IDNR2020306776","62882006281366","9fbb5943-573d-446d-8745-49cd2cb235fc"
"ENDANG SRI WAHYUNI","K1367","[""rabu""]","2025-10-01T01:38:15.424Z","BIDNAICE202060416","6285641913643","ed99e387-6f40-41f7-9f96-0fedaa963ad2"
"TOKO M ANIQ ALFARUQI","K1533","[""senin""]","2025-10-06T01:24:14.500Z","IDNR2022304999","6282210259789","1a25730f-b5e5-401b-aeb9-2b1e07548778"
"AL-FALAH","K0375","[""selasa""]","2025-10-06T15:15:16.603Z","IDN2016033365","6285175434599","bfbe22f8-8a11-45bf-9464-2476ef03e90c"
"TOKO MBAK RINI","K1725","[""rabu""]","2025-10-01T01:41:15.634Z","IDNR2023238458","6281250746642","b94cfa77-8407-4578-af10-6b2772ecf219"
"MBAK IMA","K0740","[""sabtu""]","2025-10-04T01:06:47.374Z","IDN2016016021","6285227844850","1548317b-4e5c-48fa-b203-2c9e9f46c3bb"
"RATU WALI","K1498","[""sabtu""]","2025-10-04T01:05:13.001Z","IDNR2023303612","6282141285297","96c0664e-91cd-44e1-aff7-d506a4ab7270"
"SUKATI","K0467","[""kamis""]","2025-10-02T01:09:32.952Z","IDN2016315905","62895401338700","3ff0830c-2f2f-45e4-9566-8fe33eb7c93f"
"TOKO VIANA","K1911","[""rabu""]","2025-10-01T01:42:42.460Z","BIDNAICE202060266","6285701623259","899f4979-f37e-45a1-a867-04c21c04fe75"
"SMK ISLAM AL HIKMAH MAYONG","K1387","[""kamis""]","2025-10-02T01:14:29.977Z","IDNR2022305089","6285314156438","73b2db6a-6e48-4727-b318-67da1d4bad20"
"SUMUK CELL","K0504","[""jumat""]","2025-10-02T16:14:07.908Z","IDNR2019402849","6285803768888","075fb1be-a864-4c5d-a4c3-79a3d0d9dc17"
"MADURA BUNDA","K2077","[""kamis""]","2025-10-02T01:19:16.713Z","IDN2016016011","62881012020116","9f00f5a3-94ad-4211-9400-1c969d5e1641"
"WINARNO","K2021","[""jumat""]","2025-10-02T16:20:57.852Z","IDNR2024214571","6282227092345","1a59b3df-9602-48d3-9e38-45a07274d3b5"
"IRWAN CELL","K1867","[""selasa""]","2025-10-06T15:15:16.603Z","IDN2016301696","6285226123313","ebfc8c94-7b31-4699-8a11-9bcc87591086"
"TOKO IBU AMIN","K0503","[""sabtu""]","2025-10-04T00:34:34.119Z","IDNR2020417757","62895382617137","da15329b-3086-48c9-a819-e7164ef6fbc4"
"KOPERASI AL-ALAWY","K1555","[""sabtu""]","2025-10-04T01:06:23.309Z","IDNR2023302656","6285290347061","7d53152c-ff29-48d5-a39d-b6bcd58a85a3"
"ALIYA CELL","K0721","[""sabtu""]","2025-10-04T01:09:14.058Z","IDN2016304329","6289654411333","6eec6ca7-9c50-4869-aee5-594f3bfe1588"
"WIWIK","K0424","[""selasa""]","2025-10-06T15:15:16.603Z","IDN2016315514","6282241097717","fbf2ac52-7ceb-47fd-87bc-fc43e6f88520"
"TATA MANDIRI","K0366","[""rabu""]","2025-10-01T01:35:11.158Z","IDN2016304343","6285329439936","e0178599-c98c-4f4a-8457-d64738b49665"
"BERKAH SAFAR","K1482","[""rabu""]","2025-10-01T01:39:14.248Z","IDN2016029331","6285225325772","3eef16cb-1655-4ead-8181-4014c71bd002"
"PP  ALHUSNA 2","K2157","[""rabu""]","2025-11-12T04:57:29.675Z","IDNR2023312689","","c8d3ccec-3e62-494f-a218-f69af46dfc41"
"NOR AMIN MAHMUD","K1987","[""selasa""]","2025-10-06T15:15:16.603Z","IDN2016305685","6285229245472","ffa0c4ae-3554-41eb-ad5b-29823634e4a5"
"SDN 1 BAKALAN ( TOKO SEMBAKO AHLIS )","K2015","[""jumat""]","2025-10-02T16:19:27.709Z","IDN2016304332","6281227216547","a741d86a-e4b0-413b-96bf-e9be7940219e"
"MI SYUMUSUL HUDA","K1819","[""sabtu""]","2025-10-04T01:04:53.616Z","IDNR2024205098","6282134053838","5dd5463e-f0bd-4dce-8ca8-4e116b831b8b"
"TOKO BINTANI MART","K1409","[""rabu""]","2025-10-01T01:38:47.131Z","IDNR2022305177","6285740741074","a93d19f4-87ce-4bab-bf80-90060d03f4fb"
"TRANSIT MART 2","K1534","[""jumat""]","2025-10-02T16:19:53.556Z","IDNR2023312704","6285213922491","ec532f91-e89a-459a-b3f2-846d12fd1304"
"KHUDIN","K0661","[""rabu""]","2025-10-01T01:36:35.110Z","IDN2016015831","6281225322898","05a42fbe-9be5-4835-9d1e-865ddad37323"
"KUSRIYAH","K0742","[""rabu""]","2025-10-01T01:36:52.242Z","IDN2016305839","6285954262762","83edde2c-8235-46b0-9882-37e7c2b19135"
